ID,S_Value,Visibility,Phase_Jitter,BitFlip,Noise
142,2.828427124,0.967925377,10.3076247,0.004972965,0.020118479
143,2.828427124,0.971671227,7.35431955,0.000867711,0.044920927
144,2.828427124,0.983166217,0.230921832,0.001247543,0.02004313
145,2.828427124,0.9542994,8.697433134,0.001374564,0.001166349
146,2.828427124,1,0.866969711,0.001559236,0.022212933
147,2.828427124,0.967369698,3.458104998,0.002846073,0.020293774
148,2.828427124,0.931331724,6.726976762,0.007955641,0.03169874
149,2.828427124,1,0.904557678,0.000406979,0.013401053
150,2.828427124,0.937228412,9.510868364,0.001314559,0.019800625
151,2.828427124,0.940843574,11.17239001,0.00468403,0.004877221
152,2.828427124,0.949826147,3.780824632,0.003737829,0.1
153,2.828427124,0.982901079,1.998446413,0.016854781,0.018999856
154,2.828427124,0.966155279,7.890891605,0.008814922,0.043652899
155,2.828427124,0.998570869,3.180222155,0.001524,0.001531603
156,2.828427124,0.970147401,27.32785569,0.015194403,0.04220419
157,2.828427124,0.979663941,1.605585688,0.00170219,0.012609129
158,2.828427124,0.972241843,3.755998686,0.028101558,0.1
159,2.828427124,0.998567164,0.168753409,0.001249642,0.036530403
160,2.828427124,0.905236932,23.01824505,0.014926868,0.015930167
161,2.828427124,0.932212448,0.494041999,0.009260273,0.1
162,2.828427124,0.97903922,5.210744667,0.000100294,0.006635922
163,2.828427124,0.937810507,4.857116117,0.000428624,0.0440938
164,2.828427124,0.973337728,0.792312012,0.001312638,0.046436984
165,2.828427124,0.99783172,0.37122615,0.003543148,0.02034305
166,2.828427124,0.999215525,1.081620726,0,0.003360048
167,2.828427124,0.884971147,6.448534071,0.00264596,0.040937048
168,2.828427124,0.997097793,12.01604613,0.023360833,0
169,2.828427124,0.994991373,0.857509407,0.000373917,0.025669997
170,2.828427124,0.921046313,12.76482519,0.031262535,0.020487434
171,2.828427124,0.998051286,0.548761126,0.000907981,0.005116224
172,2.828427124,0.998900707,1.82488257,0.000154564,0.040908502
173,2.828427124,0.89241712,19.982444,0.070542673,0.1
174,2.828427124,0.989709711,1.936377991,0.003663821,0.012744683
175,2.828427124,0.964069843,3.645729301,0.005682853,0.008375509
176,2.828427124,0.913587975,1.198963138,0.010581478,0.1
177,2.828427124,0.980390641,2.253316954,0.002842714,0.023046504
178,2.828427124,0.997615228,3.984710845,0.006363099,0.02861708
179,2.828427124,0.924986313,18.8332834,0.011065843,0.019980722
180,2.828427124,0.99548845,0.544061667,0.002373788,0
181,2.828427124,0.961636563,2.496479434,0.003905868,0.04648857
182,2.828427124,1,4.54374244,5.36104179913174e-05,0.004858523
183,2.828427124,1,0.644919733,0.002453597,0.018962336
184,2.828427124,0.999654718,0.922078831,0.000540107,0.016267674
185,2.828427124,0.987601517,17.85138655,0.000741435,0.051315391
186,2.828427124,0.981341119,5.817610157,0.020960911,0.003797474
187,2.828427124,0.948415978,5.259828989,0.009981418,0.04843466
188,2.828427124,0.999658722,0.913669037,0.000296958,0.002138089
189,2.828427124,0.999063296,1.754660803,0.004281656,0.009020678
190,2.828427124,0.988154195,0.12657108,0.001296718,0.013933404
191,2.828427124,0.981211353,2.822292703,0.006080638,0.029760231
192,2.828427124,0.938163883,14.03356042,0.005567262,0.003622551
193,2.828427124,1,0.711310145,0.000319024,0.012296084
194,2.828427124,0.96135738,3.426243923,0.004523083,0.013906554
195,2.828427124,0.996951737,0.168263548,0.002147033,0.018889374
196,2.828427124,0.999589094,1.127619832,9.90811021907107e-05,0.025451532
197,2.828427124,0.998301305,0.402477871,0.001557113,0.021800499
198,2.828427124,0.977955107,2.199153906,0,0
199,2.828427124,0.982075916,10.2307628,0.014541063,0.038627281
200,2.828427124,0.979810258,5.993297834,0.001459619,0.023934535
201,2.828427124,0.995610754,0.765088498,0.000919192,0.034432383
202,2.828427124,0.948573816,26.28681884,0.039522449,0.047637943
203,2.828427124,0.918427866,19.04188795,0.025801464,0.042367814
204,2.828427124,0.942810922,6.993399575,0.016385883,0.000494492
205,2.828427124,0.999317392,0.631982791,0.000352139,0.025487107
206,2.828427124,0.994908616,1.609324942,0.005440226,0.018782829
207,2.828427124,0.992097469,0.499564707,0.004005342,0.041174928
208,2.828427124,1,0.396418224,0.013156064,0.1
209,2.828427124,0.986472513,3.856863551,0.007535072,0.030764113
210,2.828427124,0.989043936,0.84766691,0,0.025835592
211,2.828427124,0.802724914,32.6406024,0.001521703,0.001626847
212,2.828427124,0.99365333,0.855923138,0.000439108,0.014171485
213,2.828427124,0.996660927,0.899997351,0.002202389,0.00124112
214,2.828427124,0.947602936,5.096172019,0.001064533,0.006959932
215,2.828427124,0.992704693,0.523271396,0.012643922,0.1
216,2.828427124,0.885455884,25.06768727,0.01277911,0.022516551
217,2.828427124,0.985588405,0.134362242,0.000708604,0.034501563
218,2.828427124,0.985725913,2.810669995,0.006387315,0.028781843
219,2.828427124,0.998873711,1.685405365,0.004293503,0.018204643
220,2.828427124,0.983705476,20.94312033,0.006844875,0.031073002
221,2.828427124,0.993473014,7.300576373,0.012026781,0.002636018
222,2.828427124,0.976651766,2.274192272,0.005314635,0.045916972
223,2.828427124,0.969222744,4.666597865,0.007262624,0.047837481
224,2.828427124,0.982581014,0,0.001363867,0.027293178
225,2.828427124,0.98403163,2.320189534,0.006500492,0.003873137
226,2.828427124,0.994687703,0.95738203,0.012485953,0.038046998
227,2.828427124,0.998543203,1.700718265,0.008732139,0.021458956
228,2.828427124,0.929728726,7.100409361,0.018764929,0.03385663
229,2.828427124,0.998840304,0.15280175,0.001021144,0.015066446
230,2.828427124,0.995902875,1.288500958,0.001039132,0.025040753
231,2.828427124,0.983206411,7.132410026,0.002544899,0.012591123
232,2.828427124,0.940626755,10.62865363,0.00260876,0.040494441
233,2.828427124,0.995478305,1.529635475,0,0.01405085
234,2.828427124,0.993521774,0.779007884,0.004462972,0.038710879
235,2.828427124,0.988734,1.868772646,0.008907659,0.014822875
236,2.828427124,0.958682902,7.12169458,0.01327785,0.1
237,2.828427124,0.989208428,2.979859582,0.003600251,0.007130448
238,2.828427124,0.998296353,3.3158201,0.005681453,0.028738177
239,2.828427124,0.903697623,4.939614112,0.011090055,0.1
240,2.828427124,0.990504272,0.398258444,0.004434884,0.005658153
241,2.828427124,0.998311735,2.950634192,0.005515275,0.023603489
242,2.828427124,0.941705401,15.59197033,0.025818952,0.025546128
243,2.828427124,0.976340329,12.28868916,0.001504092,0.1
244,2.828427124,0.935016561,14.04574956,0.016310797,0.007682966
245,2.828427124,0.993910979,0.885884581,0.00294125,0.001490847
246,2.828427124,0.999633563,0.478867361,0.001236235,0.022159223
247,2.828427124,0.985748728,22.37478159,0.045227187,0.045026267
248,2.828427124,0.994951559,2.109960812,0.006216385,0.006956333
249,2.828427124,0.860388647,21.79699566,0.000252032,0.1
250,2.828427124,0.998112706,1.189072224,0.004876173,0.029211062
251,2.828427124,0.989992112,0.69988063,0.000700067,0.024146954
252,2.828427124,1,0.717083043,0.00035285,0.007780606
253,2.828427124,0.994028144,0.708874541,0.001901212,0.034148098
254,2.828427124,0.998304609,0.004002743,0.000497962,0.016580126
255,2.828427124,0.983130812,0.156961484,0.001498668,0.046587412
256,2.828427124,1,0.393705968,0.002147978,0.012937186
